Wilayah Jawa Barat,2022,2023,2024
Provinsi Jawa Barat,0.33,0.27,0.29
Bogor,0.45,0.21,0.26
Sukabumi,0.19,0.23,0.2
Cianjur,0.27,0.26,0.41
Bandung,0.21,0.29,0.09
Garut,0.45,0.23,0.29
Tasikmalaya,0.28,0.42,0.15
Ciamis,0.24,0.17,0.2
Kuningan,0.53,0.42,0.53
Cirebon,0.59,0.53,0.36
Majalengka,0.36,0.26,0.45
Sumedang,0.53,0.35,0.45
Indramayu,0.48,0.62,0.54
Subang,0.41,0.55,0.46
Purwakarta,0.25,0.36,0.35
Karawang,0.41,0.22,0.28
Bekasi,0.18,0.2,0.17
Bandung Barat,0.41,0.34,0.23
Pangandaran,0.26,0.27,0.29
Kota Bogor,0.29,0.2,0.24
Kota Sukabumi,0.38,0.31,0.18
Kota Bandung,0.17,0.15,0.14
Kota Cirebon,0.3,0.29,0.25
Kota Bekasi,0.27,0.13,0.21
Kota Depok,0.1,0.03,0.07
Kota Cimahi,0.14,0.1,0.21
Kota Tasikmalaya,0.65,0.32,0.26
Kota Banjar,0.28,0.12,0.29
