Kabupaten / Kota,2018,2019,2020
PROVINSI JAWA TENGAH,0.45,0.3,0.34
Kabupaten Cilacap,0.44,0.21,0.13
Kabupaten Banyumas,0.7,0.67,0.5
Kabupaten Purbalingga,0.74,0.47,0.43
Kabupaten Banjarnegara,0.45,0.55,0.51
Kabupaten Kebumen,0.55,0.65,0.55
Kabupaten Purworejo,0.36,0.1,0.12
Kabupaten Wonosobo,0.78,0.46,0.47
Kabupaten Magelang,0.34,0.17,0.2
Kabupaten Boyolali,0.25,0.14,0.23
Kabupaten Klaten,0.38,0.27,0.31
Kabupaten Sukoharjo,0.17,0.14,0.2
Kabupaten Wonogiri,0.41,0.11,0.18
Kabupaten Karanganyar,0.43,0.35,0.33
Kabupaten Sragen,0.59,0.59,0.53
Kabupaten Grobogan,0.35,0.13,0.18
Kabupaten Blora,0.37,0.34,0.21
Kabupaten Rembang,0.78,0.48,0.53
Kabupaten Pati,0.29,0.31,0.26
Kabupaten Kudus,0.19,0.17,0.18
Kabupaten Jepara,0.13,0.1,0.07
Kabupaten Demak,0.55,0.34,0.5
Kabupaten Semarang,0.45,0.08,0.16
Kabupaten Temanggung,0.29,0.05,0.11
Kabupaten Kendal,0.47,0.32,0.25
Kabupaten Batang,0.23,0.08,0.32
Kabupaten Pekalongan,0.31,0.2,0.29
Kabupaten Pemalang,0.83,0.57,0.68
Kabupaten Tegal,0.44,0.09,0.19
Kabupaten Brebes,1.04,0.47,0.67
Kota Magelang,0.21,0.19,0.23
Kota Surakarta,0.35,0.48,0.38
Kota Salatiga,0.13,0.2,0.08
Kota Semarang,0.12,0.12,0.16
Kota Pekalongan,0.22,0.18,0.3
Kota Tegal,0.3,0.24,0.36
