Lokasi/Tahun,2018,2019,2020,2021
Kab. Tanah Laut,0.14,0.11,0.12,0.142
Kab. Kotabaru,0.14,0.15,0.12,0.036
Kab. Banjar,0.1,0.03,0.04,0.054
Kab. Barito Kuala,0.15,0.07,0.21,0.121
Kab. Tapin,0.06,0.09,0.12,0.042
Kab. Hulu Sungai Selatan,0.18,0.15,0.09,0.063
Kab. Hulu Sungai Tengah,0.12,0.19,0.06,0.086
Kab. Hulu Sungai Utara,0.27,0.12,0.2,0.122
Kab. Tabalong,0.34,0.29,0.21,0.235
Kab. Tanah Bumbu,0.14,0.19,0.14,0.121
Kab. Balangan,0.25,0.2,0.24,0.187
Kota Banjarmasin,0.21,0.26,0.11,0.11
Kota Banjarbaru,0.11,0.26,0.1,0.104
Prov. Kalimantan Selatan,0.16,0.15,0.16,0.13
