No,Unit / Instansi,Kasus,Fisik,Psikis,Seksual,Eksploitasi,Trafficking,Penelantaran,Lainnya,Rumah Tangga,Tempat Kerja,Lainnya,Sekolah,Fasilitas Umum,Lembaga Pendidikan Kilat,Pengaduan,Kesehatan,Bantuan Hukum,Penegakan Hukum,Rehabilitasi Sosial,Reintegrasi Sosial,Pemulangan,Pendampingan Tokoh Agama
1,Kabupaten Banjarnegara,27,2,8,11,1,0,7,2,18,0,6,1,2,0,3,0,0,0,0,0,0,0
2,Kabupaten Banyumas,33,5,12,13,0,2,4,2,15,0,15,3,0,0,35,0,0,0,8,0,0,0
3,Kabupaten Batang,10,2,0,5,0,0,3,2,7,1,2,0,0,0,7,2,0,1,0,0,0,0
4,Kabupaten Blora,4,3,2,0,0,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,1
5,Kabupaten Boyolali,14,0,4,7,0,0,1,1,6,0,5,1,2,0,2,1,0,0,0,0,0,0
6,Kabupaten Brebes,24,10,3,11,0,1,0,2,12,1,4,1,6,0,8,0,0,0,0,0,0,0
7,Kabupaten Cilacap,25,16,26,24,0,1,7,4,14,0,3,1,7,0,6,5,2,0,1,1,0,0
8,Kabupaten Demak,49,24,6,13,0,0,8,1,14,1,14,5,12,3,6,2,1,9,0,0,0,0
9,Kabupaten Grobogan,26,11,10,7,1,0,3,1,20,0,3,1,2,0,10,16,0,0,14,0,0,0
10,Kabupaten Jepara,11,6,4,3,1,0,4,1,9,0,0,0,2,0,6,5,3,1,0,0,0,0
11,Kabupaten Karanganyar,4,2,2,2,0,0,1,0,2,0,0,0,2,0,1,1,1,0,0,0,0,0
12,Kabupaten Kebumen,8,0,3,9,0,0,0,0,6,0,1,0,1,0,1,0,1,4,0,1,0,0
13,Kabupaten Kendal,18,8,4,4,0,0,3,0,5,0,9,1,3,0,6,5,0,3,0,0,0,2
14,Kabupaten Klaten,11,6,4,3,0,0,2,1,5,1,1,0,4,0,3,1,0,1,0,0,0,0
15,Kabupaten Kudus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Kabupaten Magelang,31,5,23,10,0,1,7,0,18,0,9,0,4,0,1,2,0,0,0,0,0,0
17,Kabupaten Pati,2,1,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
18,Kabupaten Pekalongan,20,9,4,9,0,0,0,0,13,1,4,1,1,0,2,0,0,2,0,0,0,1
19,Kabupaten Pemalang,15,10,6,6,1,0,0,0,9,0,4,1,1,0,14,7,1,6,5,0,0,0
20,Kabupaten Purbalingga,18,6,1,12,0,0,1,2,10,0,4,1,3,0,15,0,0,0,0,0,0,0
21,Kabupaten Purworejo,9,3,5,1,0,0,2,0,8,0,0,1,0,0,1,0,1,1,0,0,1,0
22,Kabupaten Rembang,6,3,1,3,0,0,1,0,1,0,4,0,1,0,1,0,0,0,0,0,0,0
23,Kabupaten Semarang,68,49,5,12,1,0,4,3,37,3,19,2,7,0,8,55,1,0,0,4,0,0
24,Kabupaten Sragen,12,4,0,3,0,0,2,4,7,0,1,1,3,0,7,2,0,0,0,0,0,0
25,Kabupaten Sukoharjo,23,11,10,9,0,1,4,1,17,0,4,0,2,0,14,2,4,3,0,0,0,4
26,Kabupaten Tegal,19,10,2,13,1,1,1,0,9,0,5,0,5,0,1,1,0,0,0,0,0,0
27,Kabupaten Temanggung,8,2,0,5,0,0,0,1,6,0,1,0,1,0,1,0,1,1,0,0,0,1
28,Kabupaten Wonogiri,10,2,0,4,0,0,0,3,2,1,5,1,1,0,0,1,5,0,0,0,0,0
29,Kabupaten Wonosobo,44,3,24,17,0,0,15,0,26,0,17,1,0,0,33,3,2,6,0,0,0,0
30,Kota Magelang,3,1,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,2,0,0,0,0
31,Kota Pekalongan,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,Kota Salatiga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Kota Semarang,129,72,80,23,0,0,38,9,96,0,16,1,16,0,86,18,6,10,3,1,0,0
34,Kota Surakarta,25,10,20,8,0,0,6,0,19,0,4,0,2,0,10,1,4,0,0,1,1,0
35,Kota Tegal,12,8,6,2,1,0,1,1,6,0,0,0,6,0,6,0,0,1,0,1,0,1
,Total,723,304,275,251,7,7,125,41,423,9,161,25,98,3,298,134,33,51,31,9,2,10
