tahun_data,kabkota,lokasi,jml
2022,Kab. Cilacap,Rumah Tangga,5
2022,Kab. Cilacap,Tempat Kerja,0
2022,Kab. Cilacap,Lainnya,3
2022,Kab. Cilacap,Sekolah,0
2022,Kab. Cilacap,Fasilitas Umum,0
2022,Kab. Cilacap,Lembaga Pendidikan Kilat,0
2022,Kab. Banyumas,Rumah Tangga,18
2022,Kab. Banyumas,Tempat Kerja,2
2022,Kab. Banyumas,Lainnya,11
2022,Kab. Banyumas,Sekolah,1
2022,Kab. Banyumas,Fasilitas Umum,4
2022,Kab. Banyumas,Lembaga Pendidikan Kilat,0
2022,Kab. Purbalingga,Rumah Tangga,10
2022,Kab. Purbalingga,Tempat Kerja,0
2022,Kab. Purbalingga,Lainnya,0
2022,Kab. Purbalingga,Sekolah,1
2022,Kab. Purbalingga,Fasilitas Umum,3
2022,Kab. Purbalingga,Lembaga Pendidikan Kilat,0
2022,Kab. Banjarnegara,Rumah Tangga,14
2022,Kab. Banjarnegara,Tempat Kerja,0
2022,Kab. Banjarnegara,Lainnya,2
2022,Kab. Banjarnegara,Sekolah,0
2022,Kab. Banjarnegara,Fasilitas Umum,0
2022,Kab. Banjarnegara,Lembaga Pendidikan Kilat,0
2022,Kab. Kebumen,Rumah Tangga,36
2022,Kab. Kebumen,Tempat Kerja,0
2022,Kab. Kebumen,Lainnya,1
2022,Kab. Kebumen,Sekolah,2
2022,Kab. Kebumen,Fasilitas Umum,5
2022,Kab. Kebumen,Lembaga Pendidikan Kilat,0
2022,Kab. Purworejo,Rumah Tangga,22
2022,Kab. Purworejo,Tempat Kerja,0
2022,Kab. Purworejo,Lainnya,0
2022,Kab. Purworejo,Sekolah,0
2022,Kab. Purworejo,Fasilitas Umum,2
2022,Kab. Purworejo,Lembaga Pendidikan Kilat,0
2022,Kab. Wonosobo,Rumah Tangga,41
2022,Kab. Wonosobo,Tempat Kerja,0
2022,Kab. Wonosobo,Lainnya,15
2022,Kab. Wonosobo,Sekolah,0
2022,Kab. Wonosobo,Fasilitas Umum,0
2022,Kab. Wonosobo,Lembaga Pendidikan Kilat,0
2022,Kab. Magelang,Rumah Tangga,24
2022,Kab. Magelang,Tempat Kerja,0
2022,Kab. Magelang,Lainnya,2
2022,Kab. Magelang,Sekolah,1
2022,Kab. Magelang,Fasilitas Umum,0
2022,Kab. Magelang,Lembaga Pendidikan Kilat,0
2022,Kab. Boyolali,Rumah Tangga,23
2022,Kab. Boyolali,Tempat Kerja,0
2022,Kab. Boyolali,Lainnya,1
2022,Kab. Boyolali,Sekolah,0
2022,Kab. Boyolali,Fasilitas Umum,1
2022,Kab. Boyolali,Lembaga Pendidikan Kilat,0
2022,Kab. Klaten,Rumah Tangga,21
2022,Kab. Klaten,Tempat Kerja,0
2022,Kab. Klaten,Lainnya,2
2022,Kab. Klaten,Sekolah,0
2022,Kab. Klaten,Fasilitas Umum,1
2022,Kab. Klaten,Lembaga Pendidikan Kilat,0
2022,Kab. Sukoharjo,Rumah Tangga,27
2022,Kab. Sukoharjo,Tempat Kerja,0
2022,Kab. Sukoharjo,Lainnya,4
2022,Kab. Sukoharjo,Sekolah,0
2022,Kab. Sukoharjo,Fasilitas Umum,1
2022,Kab. Sukoharjo,Lembaga Pendidikan Kilat,0
2022,Kab. Wonogiri,Rumah Tangga,6
2022,Kab. Wonogiri,Tempat Kerja,0
2022,Kab. Wonogiri,Lainnya,0
2022,Kab. Wonogiri,Sekolah,0
2022,Kab. Wonogiri,Fasilitas Umum,0
2022,Kab. Wonogiri,Lembaga Pendidikan Kilat,0
2022,Kab. Karanganyar,Rumah Tangga,13
2022,Kab. Karanganyar,Tempat Kerja,0
2022,Kab. Karanganyar,Lainnya,3
